Assembly-AssemblyType,Category-Connection,Category-Coordinate,Category-Document,Category-Element,Category-Facility,Category-Floor,Category-Impact,Category-Issue,Category-Job,Category-Product,Category-Resource,Category-Role,Category-Space,Category-Spare,Category-Zone,Document-ApprovalBy,Impact-ImpactStage,Issue-Chance,Issue-Impact,Issue-Risk,Job-Status,SheetName,SheetName-Assembly,SheetName-Coordinate,Stage,Type-AssetType,Units-Area,Units-Currency,Units-Duration,Units-Impact,Units-Linear,Units-Volume,objAssembly,objAttribute,objAttributeType,objComponent,objConnection,objContact,objCoordinate,objDocument,objFacility,objFloor,objImpact,objIssue,objJob,objProject,objResource,objSite,objSpace,objSpare,objSystem,objType,objWarranty,objZone
,,,,21-06 10 10 Integrated Construction,11-35 15 47 Aquaculture Facility,,,,,23-13 23 11 11 17 11 Cast In Anchorages Inserts Adjustable Wedges,,,13-51 31 33 Pacemaker ICD Interrogation Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 10 10 Building Modules,11-35 15 51 Agricultural Auction/Market Facility,,,,,23-13 23 11 11 17 13 Cast In Anchorages Inserts Adjustable Boxes,,,13-51 31 35 Pacemaker/Holter Monitor Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 10 50 Manufactured/Fabricated Rooms,11-35 15 55 Dairy Facility,,,,,23-13 23 11 11 17 15 Threaded Cast In Anchorages Inserts ,,,13-51 31 37 Procedure Viewing Area,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 10 70 Modular Mezzanines,11-35 15 59 Feedlot,,,,,23-13 23 11 11 19 Dovetail Slots,,,13-51 31 39 Pulmonary Function Testing Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 20 Special Structures,11-35 15 63 Animal Feed Operations Facility,,,,,23-13 23 11 13 Multi Purpose Mechanical Fasteners,,,13-51 31 40 Pulmonary Function Treadmill Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 20 10 Fabric Structures,11-35 15 67 Agricultural Maintenance Facility,,,,,23-13 23 11 13 11 Plugs,,,13-51 31 41 Pulmonary Screening Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 20 20 Space Frames,11-35 19 00 Mineral Extraction Facility,,,,,23-13 23 11 13 13 Staples,,,13-51 31 43 Respiratory Inhalation Cubicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 20 30 Geodesic Structures,11-35 19 21 Oil and Gas Extraction Facility,,,,,23-13 23 11 13 15 Nails,,,13-51 31 45 Respiratory Therapy Clean-up Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 20 40 Manufacturer-Engineered Structures,11-35 19 31 Mining Facility,,,,,23-13 23 11 13 17 Rivets,,,13-51 31 47 Spirometry Test Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 20 60 Manufactured Canopies,11-35 23 00 Craft Production Facility,,,,,23-13 23 11 13 19 Screws,,,13-51 31 49 Stress Echocardiograph Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 20 65 Rammed Earth Construction,11-35 23 11 Painting Craft Production Facility,,,,,23-13 23 11 13 21 Bolts and Nuts,,,13-51 31 51 Stress Testing Treadmill Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 20 70 Towers,11-35 23 15 Wood and Plastic Craft Production Facility,,,,,23-13 23 11 13 23 Threaded Rods and Nuts,,,13-51 31 53 Transesophageal Echocardiography Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 30 Special Function Construction,11-35 23 19 Metal Craft Production Facility,,,,,23-13 23 11 13 25 Bandings,,,13-51 34 00 General Diagnostic Procedure and Treatment Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 30 10 Sound and Vibration Control,11-35 23 23 Ceramic Craft Production Facility,,,,,23-13 23 11 15 Structural Mechanical Fasteners in Hardened Concrete and Masonry,,,13-51 34 11 Allergen Preparation Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 30 30 Seismic Control,11-35 23 27 Glass-Making Craft Production Facility,,,,,23-13 23 11 15 11 Expansion Anchors,,,13-51 34 13 Allergy Injection Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 30 50 Radiation Protection,11-35 23 31 Craft Textile Production Facility,,,,,23-13 23 11 15 13 Undercut Anchors,,,13-51 34 15 Allergy Skin Testing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 50 Special Facility Components,11-35 55 00 Entertainment Production Facility,,,,,23-13 23 11 15 15 Bonded Anchors,,,13-51 34 17 Antepartum Testing (NST) Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 50 10 Pools,11-35 55 11 Entertainment Rehearsal Facility,,,,,23-13 23 11 17 Mechanical Fasteners for Metal Structures,,,13-51 34 19 Biofeedback Treatment Control/Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 50 20 Interior Fountains,11-35 55 21 Movie Studio,,,,,23-13 23 11 19 Mechanical Fasteners for Wood Structures,,,13-51 34 21 Biofeedback Treatment Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 50 30 Interior Water Features,11-35 55 31 Broadcasting Facility,,,,,23-13 23 11 19 11 Nail Plates,,,13-51 34 23 Cast and Splint Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 50 40 Aquariums,11-37 00 00 Storage Facility,,,,,23-13 23 11 19 13 Wood Connectors,,,13-51 34 25 Chemotherapy Treatment Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 50 50 Amusement Park Structures and Equipment,11-37 12 00 Dry Storage Facility,,,,,23-13 23 11 19 15 Framing Anchors,,,13-51 34 27 Dermatology Cryotherapy Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 50 60 Ice Rinks,11-37 12 11 Food Storage Facility,,,,,23-13 23 11 21 Mechanical Fasteners for Glass Structures,,,13-51 34 29 Dermatology Procedure Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 50 70 Animal Containment,11-37 12 15 Agricultural Storage Facility,,,,,23-13 23 13 Welded Joint Products,,,13-51 34 31 Dialysis Clean Equipment Preparation Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 60 Athletic and Recreational Special Construction,11-37 12 19 Grain Silo,,,,,23-13 23 13 11 Soldering Products,,,13-51 34 33 Dialysis Soiled Equipment Processing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 60 10 Indoor Soccer Boards,11-37 12 23 Grain Elevator,,,,,23-13 23 13 13 Brazing Products,,,13-51 34 35 Dialysis Training Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 60 20 Safety Netting,11-37 12 27 Consumer Products Storage Facility,,,,,23-13 23 13 15 Welding Products,,,13-51 34 37 EEG Exam Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 60 30 Arena Football Boards,11-37 12 31 Parts Storage Facility,,,,,23-13 23 15 Adhesives,,,13-51 34 39 EEG Instrument and Work Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 60 40 Floor Sockets,11-37 12 35 Equipment Storage Facility,,,,,23-13 23 15 11 Natural Adhesives and Glues,,,13-51 34 41 EEG/Sleep Study Monitoring Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 60 50 Athletic and Recreational Court Walls,11-37 12 39 Raw Material Storage Facility,,,,,23-13 23 15 13 Synthetic Adhesives,,,13-51 34 43 Electromyography Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 60 60 Demountable Athletic Surfaces,11-37 12 43 Self-Storage/Mini-Storage Facility,,,,,23-13 23 15 15 Sound Proofing Adhesive,,,13-51 34 45 ENT Procedure Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 80 Special Instrumentation,11-37 15 00 Salvage Yard,,,,,23-13 23 17 General Purpose Tape,,,13-51 34 47 Evoked Potential Response Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 80 10 Stress Instrumentation,11-37 19 00 Underground/Cave Storage,,,,,"23-13 23 19 Joint Fillers, Sealants, and Mastics",,,13-51 34 49 General Purpose Dirty Treatment Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 80 20 Seismic Instrumentation,11-37 23 00 Loft/Multi-Story Warehouse,,,,,23-13 23 19 11 Joint Fillers,,,13-51 34 51 Immunization Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 80 40 Meteorological Instrumentation,11-37 26 00 Covered Storage Facility,,,,,23-13 23 19 11 11 Backer Rods,,,13-51 34 53 Infectious Disease Decontamination Shower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 10 80 60 Earth Movement Monitoring,11-37 26 11 Depot and Arsenal Covered Storage,,,,,23-13 23 19 13 Putties,,,13-51 34 55 Infectious Disease Decontamination Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 20 Facility Remediation,11-37 26 15 Installation and Organization Covered Storage,,,,,23-13 23 19 15 Construction Sealants,,,13-51 34 57 Life Support Unit Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 20 10 Hazardous Materials Remediation,11-37 32 00 Open Storage Facility,,,,,23-13 23 19 15 11 Elastomeric Construction Sealants,,,13-51 34 61 OB/GYN Treatment Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 20 10 10 Transportation and Disposal of Hazardous Materials,11-37 32 11 Depot Open Storage Facility,,,,,23-13 23 19 15 13 Rigid Construction Sealants,,,13-51 34 63 Patient Observation and Treatment Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 20 10 20 Asbestos Remediation,"11-37 32 15 Open Storage, Installation Facility",,,,,23-13 23 19 15 15 Sanitary Construction Sealants,,,13-51 34 65 Pentamidine Treatment Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 20 10 30 Lead Remediation,11-37 35 00 Environmentally-Controlled Storage Facility,,,,,23-13 23 19 15 17 Chemical Resistant Construction Sealants,,,13-51 34 67 Peritoneal Dialysis Exam Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 20 10 40 Polychlorinate Biphenyl Remediation,11-37 35 11 Cold Storage Facility,,,,,23-13 23 19 15 19 Water Immersed Construction Sealants,,,13-51 34 69 Peritoneal Dialysis Procedure Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 20 10 50 Mold Remediation,11-37 35 21 Freezer Storage Facility,,,,,23-13 23 19 17 Preformed Joint Seals,,,13-51 34 71 Phototherapy Treatment Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 30 Demolition,11-37 35 31 Warm Storage Facility,,,,,23-13 23 19 17 11 Compression Seals,,,"13-51 34 73 Renal Dialysis Bed Station, Private",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 30 10 Structure Demolition,11-37 39 00 Hazardous Storage Facility,,,,,23-13 23 19 17 13 Joint Gaskets,,,"13-51 34 75 Renal Dialysis Room, Negative Pressure",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 30 10 10 Building Demolition,11-37 39 11 Explosives Storage Facility,,,,,"23-13 23 21 Ropes, Wires, and Cables",,,"13-51 34 77 Renal Dialysis, Chair Station, Cubicle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 30 10 30 Tower Demolition,11-37 39 21 Toxins Storage Facility,,,,,23-13 23 21 11 Ropes,,,"13-51 34 78 Renal Dialysis, Water Treatment Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 30 10 50 Bridge Demolition,11-37 39 31 Radioactive Material Storage Facility,,,,,23-13 23 21 13 Wires,,,13-51 34 79 Sleep Study Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 30 10 70 Dam Demolition,11-37 45 00 Gas Plant and Storage Facility,,,,,23-13 23 21 15 Cables,,,"13-51 34 81 Provider Trainee Observation Area, Healthcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 30 30 Selective Demolition,11-37 45 11 Helium Production/Storage Building,,,,,23-13 25 00 Thermal and Moisture Protective Products ,,,"13-51 34 83 Treatment Cubicle, Healthcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 30 30 10 Selective Building Demolition,11-37 45 15 Helium Storage Facility,,,,,23-13 25 11 Fireproofing,,,"13-51 34 85 Treatment Room, Healthcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 30 30 30 Selective Interior Demolition,11-37 45 19 Installation Gas Storage Facility,,,,,23-13 25 11 11 Board Fireproofing,,,13-51 34 87 Neuropsychology Testing Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 30 30 50 Selective Bridge Demolition,11-37 49 00 Bulk Liquid Fuel Storage Facility,,,,,23-13 25 11 11 11 Calcium Silicate Board Fireproofing,,,13-51 37 00 Eye and Ear Healthcare Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 30 30 70 Selective Historic Demolition,11-37 49 11 Strategic Petroleum Reserve Facility,,,,,23-13 25 11 11 13 Slag Fiberboard Fireproofing,,,13-51 37 11 Audiology Immittance Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 30 50 Structure Moving,11-37 55 00 Bulk Liquid Non-Fuel Storage Facility,,,,,23-13 25 11 13 Blanket Fireproofing,,,13-51 37 13 Audiometric Exam Booth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 30 50 10 Structure Relocation,11-37 55 11 Liquid Oxygen Storage Facility,,,,,23-13 25 11 13 11 Blanket Fireproofing Smoke Containment Barriers,,,13-51 37 15 Audiometric Exam Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-06 30 50 30 Structure Raising,11-37 65 00 Intermodal/Transportation Facility,,,,,23-13 25 11 15 Fireproofing Coatings,,,13-51 37 17 Audiometric Multi-Exam Suite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 00 00 Sitework,11-37 65 11 Truck Terminal/Transit Facility,,,,,23-13 25 11 15 11 Cement Aggregate Fireproofing,,,13-51 37 19 Audiology Electrophysiology Exam Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 Site Preparation,11-37 65 15 Air Cargo Warehouse,,,,,23-13 25 11 15 13 Cementitious Fireproofing,,,13-51 37 20 Hearing Aid Testing Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 10 Site Clearing,11-37 65 19 Distribution Warehouse,,,,,23-13 25 11 15 15 Foamed Magnesium Oxychloride Fireproofing,,,13-51 37 21 Electroretinography Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 10 10 Clearing and Grubbing,11-37 65 23 Loading Platform/Ramp,,,,,23-13 25 11 15 17 Intumescent Mastic Fireproofing,,,13-51 37 23 ENT Exam Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 10 30 Tree and Shrub Removal and Trimming,11-37 65 27 Cargo Handling and Storage Area,,,,,23-13 25 11 15 19 Magnesium Cement Fireproofing,,,"13-51 37 25 Exam/Training Room, Low Vision",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 10 50 Earth Stripping and Stockpiling,11-37 65 31 Marine Cargo Staging Area,,,,,23-13 25 11 15 21 Mineral Fiber Cementitious Fireproofing,,,13-51 37 27 Eye Lane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 20 Site Elements Demolition,11-37 65 41 Customs Facility,,,,,23-13 25 11 15 23 Miner Fiber Fireproofing,,,13-51 37 29 Laser Treatment Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 20 10 Utility Demolition,11-41 00 00 Water Infrastructure Facility,,,,,23-13 25 13 Firestopping,,,13-51 37 31 Ophthalmology Procedure Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 20 30 Infrastructure Demolition,11-41 11 00 Water Holding and Collection Facility,,,,,23-13 25 13 11 Penetrations Firestopping,,,13-51 37 33 Ophthalmology/Optometry Exam Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 20 50 Selective Site Demolition,11-41 11 11 Water Tank or Tower,,,,,23-13 25 13 11 11 Annular Space Protection Firestopping,,,"13-51 37 35 Photography Room, Ophthalmology/Optometry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 30 Site Element Relocations,11-41 11 14 Dam,,,,,23-13 25 13 11 13 Fire Resistant Joint Sealants,,,13-51 37 37 PRK/LASIK Treatment Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 30 10 Utility Relocation,11-41 11 17 Reservoir,,,,,23-13 25 13 11 15 Firestopping Foams,,,13-51 37 39 Sinusoidal Vertical Axis Rotational Rest Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 50 Site Remediation,11-41 11 25 Shore Erosion Prevention Facility,,,,,23-13 25 13 11 15 11 Intumescent Firestopping Foams,,,13-51 37 41 Tilt Table Testing Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 50 10 Physical Decontamination,11-41 21 00 Water Distribution Facility,,,,,23-13 25 13 11 15 13 Silicone Firestopping Foams,,,"13-51 37 43 Training Room, Low Vision, Polytrauma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 50 15 Chemical Decontamination,11-41 21 11 Potable Water Distribution Facility,,,,,23-13 25 13 11 17 Firestopping Mortars,,,13-51 37 45 Ultrasound/Optical Coherence Tomography Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 50 20 Thermal Decontamination,11-41 21 14 Storm Water Sewer Distribution Facility,,,,,23-13 25 13 11 19 Firestopping Pillows,,,13-51 37 47 Vestibulography Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 50 25 Biological Decontamination,11-41 21 17 Sanitary Sewer Distribution Facility,,,,,23-13 25 13 11 21 Firestopping Thermal Barriers for Plastics,,,13-51 37 49 Vision/Hearing Screening Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 50 30 Remediation Soil Stabilization,11-41 21 21 Irrigation Distribution Facility,,,,,23-13 25 13 13 Fire Safing,,,13-51 37 51 Vision Screening Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 50 40 Site Containment,11-41 21 24 Canal,,,,,23-13 25 13 13 11 Fire Safing Fibrous Blankets,,,13-51 37 53 Vision Testing Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 50 45 Sinkhole Remediation,11-41 21 27 Canal Lock,,,,,23-13 25 13 13 13 Fire Safing Sealants,,,13-51 37 55 Visual Fields Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 50 50 Hazardous Waste Drum Handling,11-41 21 31 Aqueduct,,,,,23-13 25 13 13 15 Fire Safing Clip Anchors,,,"13-51 37 57 Eye, Contact Lens Fitting/Dispensing Space",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 50 60 Contaminated Site Material Removal,11-41 21 35 Navigation Revetment,,,,,23-13 25 15 Dampproofings,,,13-51 37 59 Eyeglass Fitting and Dispensing Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 50 80 Water Remediation,11-41 21 39 Training Dike/Wing Dam/Pile Dike,,,,,23-13 25 15 11 Dampproofing Membranes,,,13-51 41 00 Endoscopy/Gastroenterology Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 70 Site Earthwork,11-41 24 00 Water Treatment Facility,,,,,23-13 25 15 13 Dampproofing Coatings,,,13-51 41 11 Bronchoscopy Equipment Preparation Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 70 10 Grading,11-41 24 11 Potable Water Treatment Facility,,,,,23-13 25 15 13 11 Bituminous Dampproofing Coatings,,,13-51 41 13 Bronchoscopy Procedure Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 70 20 Excavation and Fill,11-41 24 14 Waste Water Treatment Facility,,,,,23-13 25 15 13 13 Cementitious Dampproofing Coatings,,,"13-51 41 15 Endoscope Clean-up, Sterilization, and Storage Room",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 70 30 Embankments,11-41 24 17 Wetlands Water Treatment Facility,,,,,23-13 25 17 Waterproofing,,,13-51 41 17 Endoscopy Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 70 35 Erosion and Sedimentation Controls,11-41 27 00 Special Water Production Facility,,,,,23-13 25 17 11 Built Up Bituminous Waterproofing,,,13-51 41 19 Gastroenterology Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 70 40 Soil Stabilization,11-41 27 11 Water Distillation Facility,,,,,23-13 25 17 13 Sheet Waterproofing,,,13-51 41 21 Proctoscopy/Sigmoidoscopy Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 70 45 Rock Stabilization,11-41 27 14 Special Water Purification Facility,,,,,23-13 25 17 13 11 Bituminous Sheet Waterproofing,,,13-51 41 23 Urodynamics Treatment Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 70 50 Soil Reinforcement,11-41 27 17 Chilled Water Facility,,,,,23-13 25 17 13 13 Elastomeric Sheet Waterproofing,,,13-51 44 00 Surgical Spaces,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 70 55 Slope Protection,11-41 35 00 Fire Protection Water Facility,,,,,23-13 25 17 13 15 Modified Bituminous Sheet Waterproofing,,,13-51 44 11 Anesthesia Workroom and Equipment Storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 70 60 Gabions,"11-41 35 11 Water Source, Fire Protection",,,,,23-13 25 17 13 17 Thermoplastic Sheet Waterproofing,,,13-51 44 13 Cardiac Operating Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 70 65 Riprap,"11-41 35 15 Water Distribution Line, Fire Protection",,,,,23-13 25 17 15 Fluid Applied Waterproofing,,,13-51 44 15 Cardiac Pump Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 70 70 Wetlands,"11-41 35 19 Water Impoundment, Fire Protection",,,,,23-13 25 17 15 11 Hot Applied Rubberized Asphalt,,,13-51 44 17 Cesarean Birth Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 70 80 Earth Dams,"11-41 35 23 Water Pump Facility, Fire Protection",,,,,23-13 25 17 17 Sheet Metal Waterproofing,,,13-51 44 19 Cystoscopy Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 10 70 90 Site Soil Treatment,"11-41 35 27 Water Tank, Fire Protection",,,,,23-13 25 17 19 Cementitious and Reactive Waterproofing,,,"13-51 44 21 Equipment Storage Room, Surgical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 20 Site Improvements,11-41 39 00 Marine Improvement,,,,,23-13 25 17 19 11 Acrylic Modified Cement Waterproofing,,,13-51 44 23 Frozen Section Laboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 20 10 Roadways,11-41 39 11 Harbor Marine Improvements,,,,,23-13 25 17 19 13 Crystalline Waterproofing,,,13-51 44 25 General Operating Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 20 10 10 Roadway Pavement,11-41 43 00 Fish Passage,,,,,23-13 25 17 19 15 Metal Oxide Waterproofing,,,13-51 44 27 Nerve Block Induction Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 20 10 20 Roadway Curbs and Gutters,11-41 43 11 Fish Facility,,,,,23-13 25 17 21 Bentonite Waterproofing,,,13-51 44 29 Neurosurgery Operating Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 20 10 40 Roadway Appurtenances,11-41 47 00 Ground Improvement Structure,,,,,23-13 25 17 21 11 Bentonite Panel Waterproofing,,,13-51 44 31 Orthopedic Operating Room,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,21-07 20 10 70 Roadway Lighting,11-41 47 11 Grounds Drainage,,,,,23-13 25 17 21 13 Bentonite Sheet Waterproofing,,,"13-51 44 33 Patient Holding Area, Surgical",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
